Epoch 90/1000, Loss: 0.4762756022913703, Accuracy: 0.8249
Epoch 91/1000, Loss: 0.4808545256483144, Accuracy: 0.8140
Epoch 92/1000, Loss: 0.4717346553144784, Accuracy: 0.8282
Epoch 93/1000, Loss: 0.47093259157805606, Accuracy: 0.8249
Epoch 94/1000, Loss: 0.4650585661674368, Accuracy: 0.8315
Epoch 95/1000, Loss: 0.4604573342306861, Accuracy: 0.8271
Epoch 96/1000, Loss: 0.46032027540535764, Accuracy: 0.8260
Epoch 97/1000, Loss: 0.4535873049292071, Accuracy: 0.8304
Epoch 98/1000, Loss: 0.4492928663204456, Accuracy: 0.8326
Epoch 99/1000, Loss: 0.44884797314117697, Accuracy: 0.8260
Epoch 100/1000, Loss: 0.443151344513071, Accuracy: 0.8348
Epoch 101/1000, Loss: 0.44242572167824057, Accuracy: 0.8359
Epoch 102/1000, Loss: 0.44454284783067377, Accuracy: 0.8337
Epoch 103/1000, Loss: 0.4364331606133231, Accuracy: 0.8326
Epoch 104/1000, Loss: 0.43514638419809015, Accuracy: 0.8403
Epoch 105/1000, Loss: 0.42420920113037375, Accuracy: 0.8512
Epoch 106/1000, Loss: 0.4145841459775793, Accuracy: 0.8490
Epoch 107/1000, Loss: 0.4145636383829446, Accuracy: 0.8600
Epoch 108/1000, Loss: 0.4142875537790101, Accuracy: 0.8435
Epoch 109/1000, Loss: 0.4007944279703601, Accuracy: 0.8556
Epoch 110/1000, Loss: 0.4052706237497001, Accuracy: 0.8578
Epoch 111/1000, Loss: 0.3941193079126292, Accuracy: 0.8556
Epoch 112/1000, Loss: 0.39871726878758135, Accuracy: 0.8523
Epoch 113/1000, Loss: 0.3963555971096302, Accuracy: 0.8534
Epoch 114/1000, Loss: 0.3925685969919994, Accuracy: 0.8545
Epoch 115/1000, Loss: 0.3919702984135726, Accuracy: 0.8446
Epoch 116/1000, Loss: 0.3840937131437762, Accuracy: 0.8611
Epoch 117/1000, Loss: 0.37969996086482344, Accuracy: 0.8621
Epoch 118/1000, Loss: 0.3818852922012066, Accuracy: 0.8665
Epoch 119/1000, Loss: 0.3763068076865426, Accuracy: 0.8643
Epoch 120/1000, Loss: 0.36503267134058065, Accuracy: 0.8742
Epoch 121/1000, Loss: 0.36527948184260006, Accuracy: 0.8720
Epoch 122/1000, Loss: 0.36521814198329533, Accuracy: 0.8676
Epoch 123/1000, Loss: 0.3574243598970874, Accuracy: 0.8709
Epoch 124/1000, Loss: 0.3528894504596447, Accuracy: 0.8775
Epoch 125/1000, Loss: 0.35924606795968683, Accuracy: 0.8731
Epoch 126/1000, Loss: 0.351260205795025, Accuracy: 0.8731
Epoch 127/1000, Loss: 0.3487720813216834, Accuracy: 0.8764
Epoch 128/1000, Loss: 0.34521312035363294, Accuracy: 0.8764
